Rk,G,Season,Age,Tm,Opp,W/L,GS,MP,MP1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
62,61,16-17,28-356,GSW,NYK,W (+7),1,36.51,36:51,11,24,0.458,5,13,0.385,4,6,0.667,2,6,8,6,2,0,2,2,31,24.4,22
63,62,16-17,28-357,GSW,ATL,W (+8),1,34.31,34:31,8,20,0.4,6,15,0.4,2,3,0.667,1,3,4,9,0,0,2,4,24,17.1,5
64,63,16-17,28-359,GSW,BOS,L (-13),1,35.08,35:08,8,16,0.5,2,9,0.222,5,5,1,3,2,5,6,0,1,4,4,23,17,-3
65,64,16-17,28-361,GSW,MIN,L (-1),1,35.18,35:18,10,27,0.37,1,8,0.125,5,5,1,3,3,6,7,1,0,6,4,26,12.4,-5
66,,16-17,28-362,GSW,SAS,L (-22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
67,65,16-17,29-000,GSW,PHI,W (+2),1,37.25,37:25,8,23,0.348,5,13,0.385,8,8,1,2,4,6,5,3,0,5,3,29,19,3
68,66,16-17,29-002,GSW,ORL,W (+30),1,28.07,28:07,8,15,0.533,2,7,0.286,7,7,1,0,1,1,9,3,0,2,1,25,24.9,24
69,67,16-17,29-004,GSW,MIL,W (+25),1,30.17,30:17,9,13,0.692,6,8,0.75,4,4,1,0,4,4,4,1,1,3,3,28,24,18
70,68,16-17,29-006,GSW,OKC,W (+16),1,29.53,29:53,8,17,0.471,7,12,0.583,0,0,,0,4,4,6,0,0,5,3,23,13.5,16
71,69,16-17,29-007,GSW,DAL,W (+25),1,29.45,29:45,7,14,0.5,3,9,0.333,0,0,,1,4,5,9,2,0,0,1,17,19.8,14
72,70,16-17,29-010,GSW,SAC,W (+14),1,33.14,33:14,9,18,0.5,5,11,0.455,4,4,1,1,6,7,12,6,0,3,0,27,31.9,28
73,71,16-17,29-012,GSW,MEM,W (+12),1,36.19,36:19,8,18,0.444,5,12,0.417,0,0,,0,1,1,11,4,0,5,1,21,18.2,8
74,72,16-17,29-014,GSW,HOU,W (+7),1,33.25,33:25,11,22,0.5,3,11,0.273,7,10,0.7,2,8,10,7,2,0,6,5,32,22.5,9
75,73,16-17,29-015,GSW,SAS,W (+12),1,35.08,35:08,9,20,0.45,4,8,0.5,7,7,1,1,3,4,11,1,0,2,5,29,24.9,6
76,74,16-17,29-017,GSW,HOU,W (+9),1,34.46,34:46,8,18,0.444,4,9,0.444,4,5,0.8,3,4,7,5,2,0,2,4,24,19.4,14
77,75,16-17,29-019,GSW,WAS,W (+24),1,35.33,35:33,15,22,0.682,9,14,0.643,3,3,1,0,1,1,8,1,0,1,3,42,37.3,26
78,76,16-17,29-021,GSW,MIN,W (+14),1,29.53,29:53,7,18,0.389,3,8,0.375,2,4,0.5,0,3,3,9,3,2,3,2,19,16.2,13
79,77,16-17,29-022,GSW,PHO,W (+9),1,35.11,35:11,15,25,0.6,8,12,0.667,4,7,0.571,0,4,4,11,2,2,3,0,42,38.6,25
80,,16-17,29-025,GSW,NOP,W (+22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
81,78,16-17,29-027,GSW,UTA,L (-6),1,29.57,29:57,9,16,0.563,6,8,0.75,4,5,0.8,1,3,4,4,1,0,1,1,28,24,9
82,79,16-17,29-029,GSW,LAL,W (+15),1,28.27,28:27,6,17,0.353,5,14,0.357,3,4,0.75,0,5,5,8,2,0,6,1,20,12.8,27
1,1,17-18,29-217,GSW,HOU,L (-1),1,29.33,29:33,8,18,0.444,3,9,0.333,3,3,1,0,5,5,4,1,0,2,4,22,14.3,9
2,2,17-18,29-220,GSW,NOP,W (+8),1,35.07,35:07,7,16,0.438,4,11,0.364,10,10,1,0,3,3,8,0,0,1,1,28,24.7,7
3,3,17-18,29-221,GSW,MEM,L (-10),1,30.05,30:05,9,17,0.529,6,11,0.545,13,13,1,0,6,6,3,0,0,2,5,37,28.6,-6
4,4,17-18,29-223,GSW,DAL,W (+30),1,31.09,31:09,7,15,0.467,2,10,0.2,13,13,1,2,0,2,8,4,0,6,1,29,25.9,22
5,5,17-18,29-225,GSW,TOR,W (+5),1,37.31,37:31,9,20,0.45,4,11,0.364,8,8,1,0,4,4,5,3,1,2,2,30,25.2,14
6,6,17-18,29-227,GSW,WAS,W (+3),1,36.12,36:12,7,19,0.368,3,13,0.231,3,3,1,0,5,5,8,2,0,2,2,20,15.8,-8
7,7,17-18,29-229,GSW,DET,L (-8),1,35.26,35:26,11,17,0.647,3,7,0.429,2,3,0.667,1,5,6,8,1,0,5,3,27,21.7,12
8,8,17-18,29-230,GSW,LAC,W (+28),1,29.54,29:54,9,14,0.643,7,11,0.636,6,8,0.75,2,3,5,6,2,1,1,3,31,31,23
9,9,17-18,29-233,GSW,SAS,W (+20),1,31.51,31:51,7,13,0.538,3,4,0.75,4,4,1,1,7,8,5,3,0,2,2,21,21.2,16
10,10,17-18,29-235,GSW,DEN,W (+19),1,29.38,29:38,7,14,0.5,5,10,0.5,3,4,0.75,0,0,0,11,2,0,3,0,22,21.3,44
11,11,17-18,29-237,GSW,MIA,W (+17),1,33.53,33:53,5,19,0.263,2,9,0.222,4,5,0.8,0,5,5,4,2,0,1,3,16,8.4,25
12,12,17-18,29-239,GSW,MIN,W (+24),1,29.48,29:48,7,16,0.438,2,7,0.286,6,6,1,0,8,8,8,2,1,5,2,22,18.5,16
13,13,17-18,29-242,GSW,PHI,W (+21),1,29.54,29:54,5,12,0.417,3,8,0.375,9,9,1,0,4,4,9,1,0,2,0,22,22.1,29
14,,17-18,29-244,GSW,ORL,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14,17-18,29-247,GSW,BOS,L (-4),1,31.04,31:04,3,14,0.214,2,9,0.222,1,2,0.5,2,4,6,5,4,0,4,5,9,4.1,-14
16,15,17-18,29-249,GSW,PHI,W (+8),1,34.39,34:39,11,22,0.5,4,9,0.444,9,9,1,0,5,5,5,0,1,2,1,35,27.3,3
17,16,17-18,29-250,GSW,BRK,W (+7),1,32.39,32:39,14,24,0.583,4,10,0.4,7,8,0.875,3,8,11,7,3,0,7,6,39,30.4,4
18,17,17-18,29-253,GSW,OKC,L (-17),1,30.49,30:49,9,18,0.5,3,8,0.375,3,3,1,1,4,5,6,1,0,6,1,24,15.7,-17
19,18,17-18,29-255,GSW,CHI,W (+49),1,26.51,26:51,10,18,0.556,4,11,0.364,9,9,1,0,7,7,4,2,0,2,2,33,28.5,39
20,19,17-18,29-256,GSW,NOP,W (+15),1,36.28,36:28,9,25,0.36,3,13,0.231,6,6,1,0,4,4,6,1,0,1,2,27,17.7,5
21,,17-18,29-258,GSW,SAC,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,20,17-18,29-260,GSW,LAL,W (+4),1,39.24,39:24,9,20,0.45,3,9,0.333,7,8,0.875,0,5,5,7,0,0,5,4,28,17,4
23,21,17-18,29-262,GSW,ORL,W (+21),1,33.03,33:03,9,20,0.45,3,8,0.375,2,2,1,1,5,6,10,3,0,4,2,23,20,19
24,22,17-18,29-264,GSW,MIA,W (+28),1,30.19,30:19,11,16,0.688,5,9,0.556,3,4,0.75,0,2,2,3,2,0,0,1,30,27.1,20
25,23,17-18,29-265,GSW,NOP,W (+10),1,34.27,34:27,9,19,0.474,5,11,0.455,8,9,0.889,2,3,5,11,1,0,2,5,31,27.9,-1
26,,17-18,29-267,GSW,CHO,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,17-18,29-269,GSW,DET,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,17-18,29-272,GSW,POR,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,17-18,29-275,GSW,DAL,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,17-18,29-279,GSW,LAL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,17-18,29-281,GSW,MEM,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,17-18,29-283,GSW,LAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,17-18,29-284,GSW,DEN,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,17-18,29-286,GSW,CLE,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,17-18,29-288,GSW,UTA,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,17-18,29-290,GSW,CHO,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,24,17-18,29-291,GSW,MEM,W (+13),1,25.36,25:36,13,17,0.765,10,13,0.769,2,2,1,0,4,4,3,0,0,0,2,38,33.8,24
38,25,17-18,29-295,GSW,DAL,W (+3),1,34.29,34:29,11,19,0.579,6,13,0.462,4,5,0.8,0,5,5,8,1,0,3,1,32,27.4,7
39,26,17-18,29-296,GSW,HOU,W (+10),1,36.51,36:51,10,20,0.5,4,10,0.4,5,6,0.833,0,9,9,5,1,0,3,3,29,21.6,3
40,27,17-18,29-298,GSW,LAC,W (+16),1,29.51,29:51,11,21,0.524,8,16,0.5,15,16,0.938,2,4,6,3,3,0,2,2,45,39.2,28
41,28,17-18,29-300,GSW,DEN,W (+10),1,34.50,34:50,9,17,0.529,5,10,0.5,9,10,0.9,1,3,4,9,2,0,6,3,32,26,3
42,,17-18,29-302,GSW,LAC,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,17-18,29-304,GSW,MIL,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,29,17-18,29-305,GSW,TOR,W (+2),1,34.28,34:28,6,12,0.5,2,7,0.286,10,12,0.833,0,6,6,9,1,0,1,3,24,24.1,-5
45,30,17-18,29-307,GSW,CLE,W (+10),1,33.24,33:24,8,15,0.533,4,8,0.5,3,4,0.75,1,3,4,8,2,0,3,3,23,20.3,13
46,31,17-18,29-309,GSW,CHI,W (+7),1,34.55,34:55,10,18,0.556,6,11,0.545,4,4,1,0,9,9,4,1,0,6,2,30,21.1,21
47,32,17-18,29-312,GSW,HOU,L (-8),1,36.11,36:11,6,20,0.3,5,15,0.333,2,4,0.5,0,1,1,8,2,0,6,2,19,7.7,-11
48,33,17-18,29-315,GSW,NYK,W (+11),1,33.16,33:16,9,19,0.474,8,15,0.533,6,6,1,0,6,6,7,0,0,1,2,32,27.2,4
49,34,17-18,29-317,GSW,MIN,W (+13),1,37.26,37:26,9,14,0.643,5,9,0.556,2,3,0.667,2,3,5,9,3,0,2,2,25,27.2,20
50,35,17-18,29-319,GSW,BOS,W (+4),1,36.48,36:48,16,24,0.667,8,13,0.615,9,10,0.9,0,4,4,5,2,0,1,2,49,43.1,6
51,36,17-18,29-322,GSW,UTA,L (-30),1,29.38,29:38,4,13,0.308,1,7,0.143,5,5,1,1,1,2,5,0,0,3,1,14,7.6,-17
52,37,17-18,29-325,GSW,SAC,W (+15),1,35.35,35:35,7,17,0.412,3,10,0.3,6,6,1,1,4,5,6,2,0,6,3,23,14.8,14
53,38,17-18,29-326,GSW,DEN,L (-7),1,35.37,35:37,8,16,0.5,5,12,0.417,3,4,0.75,1,5,6,4,2,0,5,2,24,16.8,4
54,39,17-18,29-329,GSW,OKC,L (-20),1,31.49,31:49,6,14,0.429,2,9,0.222,7,7,1,1,4,5,5,1,1,3,3,21,16.5,-13
55,40,17-18,29-331,GSW,DAL,W (+18),1,29.41,29:41,7,12,0.583,4,9,0.444,2,2,1,2,5,7,8,0,0,4,1,20,18.5,3
56,41,17-18,29-333,GSW,SAS,W (+17),1,28.52,28:52,7,13,0.538,3,7,0.429,0,0,,1,3,4,8,2,0,2,0,17,17.9,6
57,42,17-18,29-335,GSW,PHO,W (+46),1,29.53,29:53,8,17,0.471,3,9,0.333,3,3,1,2,7,9,7,0,1,3,3,22,18.2,21
58,43,17-18,29-337,GSW,POR,L (-6),1,34.26,34:26,6,17,0.353,3,10,0.3,2,2,1,2,2,4,6,3,0,7,4,17,8.1,-7
59,44,17-18,29-345,GSW,LAC,W (+7),1,37.08,37:08,14,19,0.737,8,11,0.727,8,8,1,1,5,6,10,2,0,4,4,44,41.9,8
60,45,17-18,29-347,GSW,OKC,W (+32),1,29.49,29:49,8,19,0.421,5,12,0.417,0,0,,1,8,9,6,3,0,2,2,21,18.4,24
61,46,17-18,29-349,GSW,NYK,W (+14),1,30.17,30:17,8,16,0.5,4,9,0.444,1,1,1,0,5,5,5,0,0,3,1,21,14.6,25
62,47,17-18,29-351,GSW,WAS,W (+8),1,35.07,35:07,5,15,0.333,4,9,0.444,11,12,0.917,0,5,5,3,2,0,6,3,25,14.5,20
63,48,17-18,29-353,GSW,ATL,W (+5),1,23.29,23:29,8,15,0.533,4,9,0.444,8,8,1,0,1,1,3,2,0,0,0,28,25.1,2
64,49,17-18,29-357,GSW,BRK,W (+13),1,33.56,33:56,12,20,0.6,6,12,0.5,4,5,0.8,1,5,6,4,3,1,3,2,34,29.3,11
65,50,17-18,29-359,GSW,SAS,W (+3),1,2.23,2:23,0,1,0,0,0,,2,2,1,0,0,0,0,0,0,0,0,2,1.3,-1
66,,17-18,29-360,GSW,POR,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
67,,17-18,29-362,GSW,MIN,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,,17-18,30-000,GSW,LAL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,,17-18,30-002,GSW,SAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,,17-18,30-003,GSW,PHO,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,,17-18,30-005,GSW,SAS,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,51,17-18,30-009,GSW,ATL,W (+12),1,25.22,25:22,10,18,0.556,3,8,0.375,6,6,1,1,6,7,1,0,1,1,1,29,22.9,9
73,,17-18,30-011,GSW,UTA,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,,17-18,30-013,GSW,IND,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,,17-18,30-015,GSW,MIL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
76,,17-18,30-017,GSW,SAC,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,,17-18,30-018,GSW,PHO,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
78,,17-18,30-020,GSW,OKC,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,,17-18,30-022,GSW,IND,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,17-18,30-024,GSW,NOP,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,,17-18,30-025,GSW,PHO,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,,17-18,30-027,GSW,UTA,L (-40),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive